Date,Open,High,Low,Close,Volume
23-03-2016,458,464.5,458,462.63,3898604
24-03-2016,463.43,463.7,457.8,459.48,2514851
25-03-2016,462,463.2,457.55,461.3,1615563
26-03-2016,463.25,469.55,458.83,467.15,2329724
27-03-2016,468.5,469.83,464.45,468.83,2639903
28-03-2016,468,468.68,460,465.75,2216394
29-03-2016,469,474.28,466,472.75,2353549
30-03-2016,475.3,475.98,471.05,473.33,2824686
31-03-2016,473.58,475,468.58,471.83,1682151
01-04-2016,473.43,474.93,468.78,472.05,1614741
02-04-2016,476.5,483,475.73,482.13,5489998
03-04-2016,481.75,481.75,474.55,475.78,3648582
04-04-2016,476.55,480.08,473.48,477.5,3065084
05-04-2016,475.8,479.23,471.93,476.4,1457754
06-04-2016,471.5,486.95,471.43,480.88,4028924
07-04-2016,480.75,481.35,473.93,478.98,2128698
08-04-2016,479.2,483.45,478.28,480.73,2751526
09-04-2016,482.33,483.5,477.05,478.65,2019991
10-04-2016,480,482.75,474.8,477.4,2818143
11-04-2016,480.5,493.3,480.5,491.65,5219257
12-04-2016,493.5,500,490.3,497.85,2494002
13-04-2016,495.45,498.35,487.85,492.58,3154217
14-04-2016,491,500,489.33,498.1,1858455
15-04-2016,496.78,496.78,487.43,488.53,3881950
16-04-2016,484.65,489.85,479.28,485.7,2754303
17-04-2016,486.7,487.73,482.1,484.73,1958983
18-04-2016,485,486,478.53,479.38,2731349
19-04-2016,482.5,493.75,482.2,489.68,3504343
20-04-2016,492.5,494.45,472.5,480.65,6227523
21-04-2016,481.48,481.48,474.08,478.23,3097676
22-04-2016,469.28,475.48,461.5,474.3,7378831
23-04-2016,471.68,482.6,470.05,481.93,4295838
24-04-2016,476.75,481.48,475.8,478.9,2468897
25-04-2016,480,480.95,475.6,479.3,3719055
26-04-2016,479.83,483.98,474.8,476.05,2764031
27-04-2016,474.55,476.93,468,470.13,5474225
28-04-2016,469.98,470.13,464,464.93,3427930
29-04-2016,467.5,473.45,467.03,471.78,2592198
30-04-2016,472.5,474.5,468.03,471.68,1867932
01-05-2016,473.85,484.35,467.55,470.08,4732621
02-05-2016,472.5,474.58,469,471.63,3201509
03-05-2016,472.5,474,461.88,463.53,3452330
04-05-2016,466.4,466.5,460.5,462.35,2952612
05-05-2016,465.1,473.98,463.3,465.1,7957020
06-05-2016,465.4,469,464.5,467.78,2108350
07-05-2016,470.55,477.5,467.3,475.95,2544462
08-05-2016,476.93,485,474.7,481.08,2583863
09-05-2016,479.5,479.5,472.7,475.45,2113114
10-05-2016,472.5,478.5,472.1,473.5,1914860
11-05-2016,471.93,472.73,466.53,467.7,2888443
12-05-2016,471.6,479.9,470,478.53,732188
13-05-2016,478.33,494.75,478.33,487.68,5769854
14-05-2016,487.48,490.75,484.38,486.18,3137988
15-05-2016,488.63,491.73,482.05,488.53,2585196
16-05-2016,499.73,503.43,483.03,486.03,11239090
17-05-2016,487.5,496,487,492.03,3849125
18-05-2016,493.03,502.4,490.55,492.8,4130090
19-05-2016,490.73,494.33,484.55,489.93,2945139
20-05-2016,489.65,489.93,483.48,484.73,3404870
21-05-2016,486.5,491.28,485.7,490.05,2990377
22-05-2016,491.75,497,491.3,495.28,3064588
23-05-2016,495,499.5,493.1,496.93,3572807
24-05-2016,499.05,499.5,495.2,497.03,3435012
25-05-2016,498,502,483.4,485.53,6338426
26-05-2016,488,501.5,481.15,498.68,5549214
27-05-2016,495.95,510.85,493.38,505.6,9579124
28-05-2016,505.5,508.5,499.18,502.78,3844699
29-05-2016,503,506.38,493.6,496.68,2128792
30-05-2016,495.5,499.38,490.13,492,2320174
31-05-2016,494,494.5,488.03,491.88,2674509
01-06-2016,491.75,491.88,482.85,484.13,3036872
02-06-2016,484.25,485.13,477.53,481.93,3002324
03-06-2016,483.83,486.95,482.28,484.68,1961205
04-06-2016,484.95,493.75,484.68,490.63,4570342
05-06-2016,488,498.5,484.8,493.85,3272078
06-06-2016,494,494.6,488.58,490.73,1908235
07-06-2016,491,493.05,484.5,487.6,3089040
08-06-2016,502.5,514.63,499.03,510.43,12892130
09-06-2016,508.95,508.95,442.1,461.63,82202480
10-06-2016,462,462,435,436.7,45203588
11-06-2016,447.6,448.53,430,437.7,24621299
12-06-2016,440,451.85,436.95,446.4,30642095
13-06-2016,455,459.13,451.18,456.08,21190262
14-06-2016,471.98,476.98,469,470.5,20356054
15-06-2016,470.73,471,462.78,463.73,6684696
16-06-2016,468.6,469.5,462.05,463.33,8074832
17-06-2016,464.4,464.48,456.45,457.48,7511226
18-06-2016,457.98,462.95,455,459.98,4216961
19-06-2016,460.5,460.55,446.75,450.1,5088554
20-06-2016,451,452.5,448.63,450.95,4891696
21-06-2016,450,450.15,445,447.8,3867955
22-06-2016,450,450.25,446.18,447.88,3120596
23-06-2016,449.5,449.5,441.05,442.15,4302271
24-06-2016,445.2,445.9,436.83,439.35,6893821
25-06-2016,441.28,443.88,439.4,442.03,8620677
26-06-2016,442.75,443.8,440.5,441.88,5739114
27-06-2016,442.25,448.3,440.8,446.2,6849003
28-06-2016,446.15,456.63,446.1,454.13,6729730
29-06-2016,455,458.88,453.15,454.55,4237930
30-06-2016,454,458,451.75,456.13,3016665
01-07-2016,458.5,458.5,453.73,456.35,2883915
02-07-2016,457.5,457.63,454.08,454.78,4102076
03-07-2016,454.08,455.13,444,449.15,8802044
04-07-2016,450.5,450.98,444.55,447.68,4544350
05-07-2016,448.5,454.2,447.15,452.95,3683239
06-07-2016,453.05,453.95,447.55,449.9,3000069
07-07-2016,448.05,451.95,447.15,448,8768633
08-07-2016,449,451.2,447.5,449.95,2852916
09-07-2016,455.05,456,450.8,451.78,2473761
10-07-2016,451.5,452.7,448.58,449.8,2495746
11-07-2016,450,452.48,449.5,451.53,4305650
12-07-2016,452,461,451.98,460.08,4287154
13-07-2016,460,464.5,457,461.95,1752416
14-07-2016,469.98,469.98,464.78,467.73,3571610
15-07-2016,467.73,469,464,465.35,2991252
16-07-2016,465,467.18,459.78,463.65,5140486
17-07-2016,466.4,466.75,463.78,465.05,3590364
18-07-2016,467.98,471,466.5,469.5,2879375
19-07-2016,468.4,468.4,464.75,465.25,2812551
20-07-2016,464.45,465,461.48,462.18,3615926
21-07-2016,465,466,462.6,463.88,545717
22-07-2016,465,471,464.05,469.75,4577048
23-07-2016,473,473.33,460.8,463.25,7264664
24-07-2016,459.5,472.35,457.63,467.65,6992067
25-07-2016,471,475.9,470.05,473.68,16829629
26-07-2016,477.5,478.85,472,473.18,4262478
